model,icc_adjusted,icc_unadjusted,interpretation
Unconditional (intercept-only),0.9123,0.9123,Country-level variance share = 91.2% in raw HLO outcome.
Conditional (3e full controls + year FE),0.7926,0.4759,Country-level variance share after controls = 79.3% (residual ICC).
