spec,N_obs,N_countries,beta,se,p,ci_lo,ci_hi
"Headline (full panel, reference)",143,133,11.135622514004222,5.5182238750568535,0.04807230851494979,0.3199037188927889,21.951341309115655
(i) Excluding SSA,91,91,4.70867234415736,4.922782181206784,0.344862502409102,-4.939980731007935,14.357325419322656
(ii) SSA only,52,42,-12.345076077923437,13.849658949131465,0.38283391932811683,-39.49040761822111,14.800255462374235
(iii) Pooled with log_crs × is_ssa — main effect,143,133,12.715130800880077,6.573884479143087,0.057810067007210524,-0.1696827782403716,25.599944380000526
(iii) Pooled with log_crs × is_ssa — interaction,143,133,-8.77308261775303,11.242704282249877,0.43826106218532657,-30.808783010962788,13.262617775456729
