indicator,ssa_missing_pct,non_ssa_missing_pct,gap_pct,n_ssa,n_non_ssa
priv_exp_pct_gdp,91.84,80.28,11.56,1679,5380
gov_exp_pct_gdp_uis,29.54,26.1,3.44,1679,5380
oos_rate_primary,32.28,33.9,-1.62,1679,5380
oos_rate_primary_f,38.71,51.49,-12.77,1679,5380
oos_rate_primary_m,38.71,51.51,-12.79,1679,5380
oos_rate_lower_sec,62.24,51.34,10.9,1679,5380
oos_rate_upper_sec,64.98,51.69,13.29,1679,5380
