source,rows_in_source,cells_with_data_in_panel
wdi,6480,3040
hci,2277,443
wgi,5112,2916
uis,7059,602
hlo,2277,447
aap2018,454,236
ucdp,7470,582
covid,630,396
crs,537586,2735
gcdf,2654,436
