spec,N,beta_ODA,se_ODA,ci_lo_ODA,ci_hi_ODA,p_ODA,beta_UIS,se_UIS,p_UIS
"Primary (UIS dropped, ADR-0006 Option 3)",143,11.136,5.518,0.3207,21.9513,NA,NA,NA,NA
Robustness 1 (UIS-augmented listwise),41,-1.9666,4.3952,-10.5812,6.648,0.6602,24.1472,17.3728,0.1825
