spec,N,n_clusters,beta,se_fe_asymp,p_fe_asymp,asymp_ci_lo,asymp_ci_hi,se_lm_cluster,p_lm_cluster,se_boot,p_boot,boot_ci_lo,boot_ci_hi
"Headline (WB HLO, primary window, PC1 gov)",143,61,11.116660365567386,5.514008263469991,0.04827599946503302,0.30920416916620397,21.924116561968567,7.397818525615666,0.1371169651501106,5.343213036882716,0.040893318528254265,0.6439628132772768,21.589357917857523
AAP-2018 full coverage,69,28,-16.67324168170322,5.964781369721197,0.00943052131926926,-28.36421316635677,-4.982270197049674,7.989507135424374,0.04446739112160199,5.5478539801526185,0.004956246968869279,-27.547035482802304,-5.799447880604038
AAP-2018 overlap (year >= 2010),36,18,-3.9410022945624625,8.682091425615189,0.6556256588407513,-20.957901488768233,13.075896899643308,13.496859616714184,0.7752778074574862,7.724393509878142,0.619163937154289,-19.080813573923603,11.198808984798713
