iso3,dominant_bucket,dominant_share,country_total_usd_defl
AGO,teacher_training,0.04421200579776165,389.98429699999997
AIA,infrastructure,0.0023247973153099465,0.255076
ALB,infrastructure,0.13174652901447265,633.728802
ARG,budget_support,0.29774717255401334,2775.949934
ARM,infrastructure,0.06811144927231978,379.832646
ATG,infrastructure,0.30186841151885196,2.26342
AZE,teacher_training,0.025690569516690635,772.159916
BDI,infrastructure,0.05424525699779237,281.611349
BEN,infrastructure,0.08431753409181417,664.2528580000001
BFA,infrastructure,0.1438353168742878,983.369579
BGD,infrastructure,0.12246333159787588,6146.210414
BIH,infrastructure,0.05143573389396648,516.6425360000001
BLR,infrastructure,0.03031739634511275,501.63539199999997
BLZ,teacher_training,0.5151709979467737,40.127089999999995
BOL,teacher_training,0.15217690487658622,500.107819
BRA,budget_support,0.1550568379752167,3811.4234220000003
BRB,budget_support,0.49090172930007564,0.46926500000000004
BTN,infrastructure,0.12313911883344825,63.332295
BWA,budget_support,0.7983760864705763,178.034849
CAF,infrastructure,0.09864542974907994,132.974351
CHL,infrastructure,0.17444103971621258,502.368698
CHN,infrastructure,0.09061874329906938,8137.696178
CIV,infrastructure,0.1169550265860335,796.313974
CMR,infrastructure,0.03720305924241081,1333.9786299999998
COD,infrastructure,0.11405876879035064,1430.265886
COG,infrastructure,0.06341900048065624,280.152397
COK,budget_support,0.2556359929190914,37.455645
COL,infrastructure,0.07797342786818938,1869.6601520000002
COM,infrastructure,0.02886277441603861,176.177658
CPV,infrastructure,0.09086732070921952,287.146862
CRI,infrastructure,0.2726342086001304,683.74847
CUB,infrastructure,0.11121010078128445,98.115737
DJI,infrastructure,0.11970585171383914,206.00358
DMA,teacher_training,0.2727143908264387,8.870797
DOM,infrastructure,0.16662668446478726,606.16138
DZA,infrastructure,0.014191108749905968,1515.920805
ECU,teacher_training,0.31241150655920186,851.880934
EGY,infrastructure,0.10101906210876635,2685.866324
ERI,infrastructure,0.28787078589789233,166.18991
ETH,budget_support,0.15808009642377896,3960.3907269999995
